experiment_id,dataset,mode,n,patterns,pattern_hash,runtime_mean_ms,runtime_sd_ms,runtime_median_ms,runtime_iqr_ms,runtime_ci95_lo_ms,runtime_ci95_hi_ms,heap_mean_mb,heap_sd_mb,heap_median_mb,nodes_median,candidates_median,corr_pruned_median,uo_bound_pruned_median,eda_aborts_median,duo_entries_median,lazy_duo_skips_median
journal_bmspos2,BMSPOS2,CORHUOPM_AC,10,14,d2829b3a0ebed8cad4cf5bed75869319124154e61712968f9f03bdc8783de179,8363.6,903.8190821914159,8794.0,1320.75,7717.091696928307,9010.108303071693,396.3087448,0.474860265118484,396.1285785,2359.0,37783.0,2074.0,0.0,0.0,0.0,0.0
journal_bmspos2,BMSPOS2,CORHUOPM_BOND,10,13,ce1ad84a2cba23934fb02a63bbc17491cf7f6c7384a7c653ec4345d92abab2c5,12948.6,962.4542932870457,13158.0,172.0,12260.149507863463,13637.050492136537,470.4162553,0.6883429371627205,470.171364,2325.0,37689.0,2047.0,0.0,0.0,0.0,0.0
journal_bmspos2,BMSPOS2,COUPM_KULC_ADAPTED,10,29,1b5240e478ede855b486c7512195e21ac2c77ca7cc8978d5d35b6a3ed9bce2a5,13098.4,772.0383122329847,13258.0,1100.5,12546.155431388011,13650.644568611988,397.1754585,0.11481523546817038,397.16731649999997,9975.0,59028.0,0.0,4450.0,0.0,0.0,0.0
journal_bmspos2,BMSPOS2,HUOPM,10,327,493dc500c4afa41a50952be2308af25358b87d9e2c91adce8de837765320c117,12706.5,1044.4095886618854,12373.0,1522.75,11959.426294452147,13453.573705547853,397.002942,0.06485310887605383,396.9870375,9975.0,59028.0,0.0,4450.0,0.0,0.0,0.0
journal_bmspos2,BMSPOS2,UOB_EAGER_DUO,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,8067.9,1131.5460858685537,7404.5,1965.75,7258.496930031,8877.303069968999,470.81240460000004,0.5144666948441016,470.99812299999996,281.0,37675.0,37668.0,0.0,37668.0,251153.0,0.0
journal_bmspos2,BMSPOS2,UOB_FULL,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,7657.5,1318.726426856188,7111.5,1836.75,6714.205483164351,8600.79451683565,443.549723,1.8696239323521677,443.83265700000004,281.0,37675.0,2034.0,0.0,2034.0,241274.0,35635.0
journal_bmspos2,BMSPOS2,UOB_NO_EDA,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,11804.2,1405.0903331972804,11049.5,1943.5,10799.128758557206,12809.271241442795,582.1939484,25.49817799299058,581.8057365,2340.0,37749.0,2059.0,0.0,0.0,215358049.0,35684.0
journal_bmspos2,BMSPOS2,UOB_NO_UO_BOUND,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,7607.8,1177.7286803183679,7087.5,2147.25,6765.362187395556,8450.237812604444,454.9515556,1.8171421633233913,454.460152,281.0,37675.0,2034.0,0.0,2034.0,241274.0,35635.0
journal_bmspos2,BMSPOS2,UOB_POSTFILTER,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,20648.9,2912.286404184863,19349.0,3729.5,18565.720547024517,22732.079452975486,396.9603004,0.3339048180718591,397.077091,9975.0,59028.0,0.0,4450.0,0.0,0.0,0.0
journal_bmspos2,BMSPOS2,UOB_RECOMPUTE_DUO,10,14,6fd1db885cbf5903b2484038b4f6c4b540aee7f152cab7eb82ead32cdfc57275,17589.8,2334.2151095770455,16618.5,4390.5,15920.119110061278,19259.48088993872,760.1575906,45.59537862072667,755.2964895,2340.0,37749.0,2059.0,0.0,0.0,431738993.0,35684.0
